case_id,n,detectors,azimuths,error
74,2,97.9178162176 84.9263373587;398.9492894869 231.0959765580,16.8640133476;215.2298790297,1.0000000000
75,2,80.4489005923 411.0505901713;442.5116395661 45.7479226008,314.5791797794;142.5239006983,1.0000000000
76,3,422.2499255362 261.2079914529;83.2498179489 271.1374023336;148.4729653230 188.0784282573,182.7416950904;355.4622153088;28.7278986499,1.0000000000
77,2,344.8459715706 416.7779560395;105.1058314332 186.1788935692,233.4174773056;35.4039218888,1.0000000000
78,3,92.4948257954 468.6616237875;485.6905205074 140.9617731021;257.4733097237 465.2570076080,322.3860707278;136.3453230283;287.8400764067,1.0000000000
79,2,343.5561369252 116.3948980412;15.2635213432 304.3953654162,150.0647942185;331.6639076932,1.0000000000
80,4,267.9942728778 383.7127827973;273.8256726233 213.7092551638;91.2930762739 141.1438825214;300.2651247197 96.0997512704,263.0580429860;196.5518977778;21.8647676587;114.2891628471,1.0000000000
81,2,484.7559110664 39.4264316335;293.4477982012 302.4667660129,121.4939467028;314.5688628756,1.0000000000
82,2,119.3697765655 353.5739675485;253.1044983602 477.6365857195,41.4297673141;228.6107520870,1.0000000000
83,2,123.3056566409 32.9101481570;118.6096551522 389.4170428079,97.9425354315;263.9172920730,1.0000000000
84,2,347.4656144961 191.9174072149;32.5549902052 375.3903846561,145.6391592939;336.8273290160,1.0000000000
85,3,212.7231720306 54.6066749179;164.8812718106 268.7783694484;208.6907064099 244.1441536912,99.4125231660;291.7967230774;249.2214689514,1.0000000000
86,2,148.2540702014 193.7412382800;326.5751822529 438.1539582302,61.1727193428;231.1219785418,1.0000000000
87,2,35.8233606981 99.2446723032;371.1980587273 197.3206234962,17.3313435573;194.0377893626,1.0000000000
88,2,81.9405559728 171.6291695775;392.0298234009 396.8912278527,41.4581312231;209.0090513806,1.0000000000
89,2,48.8551823740 120.3540013372;404.9646125161 186.6028449293,16.6064816488;182.2422814149,1.0000000000
90,2,247.8544275158 43.0312751133;57.6355690451 236.7012213146,139.2631650525;310.5416749109,1.0000000000
91,5,424.8210994827 41.0799975810;331.8222063364 11.9977452640;487.4233616462 497.8266186771;75.7756975734 216.9377843591;155.6612296841 311.9060424519,126.8959840892;102.1245190502;230.4207588357;7.5725154654;330.5099363956,1.0000000000
92,2,145.7970577252 154.1513514310;20.0592225861 496.6300869761,119.5107236607;288.3071387978,1.0000000000
93,2,351.4714592351 268.1481479123;361.5048015459 136.9949158369,267.2958506520;96.5424135564,1.0000000000
94,4,113.0552815428 194.8601931421;193.8348234955 387.2758309816;406.5246838870 470.5426768854;246.4154056163 426.3201017870,54.6337406730;348.4126567784;210.1031980963;265.7455655264,1.0000000000
95,3,69.9345199638 147.3985096804;459.1690354880 256.1552449445;495.2527477149 246.7680592146,13.5923280361;205.8583555613;186.5250508632,1.0000000000
96,2,60.4059689705 293.0953599068;484.8778952110 464.1191873600,16.2714042742;204.1313409693,1.0000000000
97,3,275.2023326618 210.0006944385;150.3266166239 464.0715194115;445.0273342241 269.4035487228,81.8586121788;312.0772950108;163.8779920790,1.0000000000
98,3,229.2666674283 19.3776336496;276.6602365500 344.3382624831;426.6365622987 242.6656669321,66.2338894341;284.9793457478;194.5709026740,1.0000000000
99,2,229.1535196471 272.1330840099;121.6637914234 291.6073159070,171.0608723665;342.6232307282,1.0000000000
100,2,454.6408165045 498.3493558680;94.9976178426 136.2900706413,219.2227711213;54.1947843706,1.0000000000
101,2,62.5497681601 448.9846942668;496.2401201732 395.2301777280,353.2249528561;169.1859553851,1.0000000000
102,2,145.6741963561 475.6268720568;65.7919969966 324.5021499473,245.9037890361;60.3008286913,1.0000000000
103,2,113.7059598132 408.0540076929;135.0669904776 331.6778359653,278.8879974977;107.4962627492,1.0000000000
104,2,99.1605828204 338.6442187923;87.2475054238 118.7077772733,266.2175278006;95.0676259577,1.0000000000
105,2,244.8868923254 179.1046954745;459.2985528670 442.9055756129,44.4090905447;236.8851569999,1.0000000000
106,3,168.2170291409 242.7064602716;398.4740096235 322.1707012884;10.7084180775 131.3182301266,341.0210179568;201.0511933529;31.3882894921,1.0000000000
107,2,336.3107428029 485.9179562108;141.7627055909 72.7977794141,240.9174144114;70.4925674691,1.0000000000
108,2,41.1881951836 78.4979980970;450.2403801530 210.0174237723,24.2474229252;194.4178631833,1.0000000000
109,2,218.6260328944 205.4303508463;259.7030865873 13.5864283020,272.1656284338;106.6090977787,1.0000000000
110,2,486.4219204542 2.9757243664;476.8000287488 325.3995137473,96.2578461268;266.6123836478,1.0000000000
111,2,87.7152183356 145.6330972976;496.9002149305 304.8631566252,27.6142911953;201.4479985347,1.0000000000
112,2,465.4600455852 77.8584566530;266.5218787982 312.5880637497,134.3582302885;305.7424041271,1.0000000000
113,2,195.1536503133 170.3481256554;241.3921156729 321.9494771728,66.1192886735;262.1389216755,1.0000000000
114,3,237.8777298169 230.3753040849;93.2222141008 429.8648064219;393.2681774387 267.3796838059,78.7767131788;321.0534184734;163.8638245423,1.0000000000
115,2,380.9907910377 75.5769475670;430.2198185808 71.4276611408,358.5040068370;175.1044910405,1.0000000000
116,2,138.0965018856 352.9585052250;99.0220175624 392.6740755288,132.1654939732;319.3044018428,1.0000000000
117,3,490.7413816924 113.8081919717;218.8411532990 238.0561959847;152.2745824817 326.8666519648,151.8151164005;352.1693268059;318.0319319135,1.0000000000
118,2,88.7979068647 406.3288948810;208.0062036898 96.7620082474,291.6701624991;107.6518863348,1.0000000000
119,2,194.0377735706 272.1456796049;126.8651986376 279.3817677168,169.2714932561;357.4671241167,1.0000000000
120,3,328.0785245301 1.2175597695;331.1329597411 17.2790594198;384.0907243523 3.5539702470,10.2826835299;328.5142367304;176.6243220600,1.0000000000
121,3,279.2543285104 346.3300513752;411.0472308740 402.6307049407;40.2013921540 392.7753025703,133.9468135064;184.0811265446;0.8826099655,1.0000000000
122,2,292.4882113288 498.7089751678;258.6257408098 250.5280213805,269.8908195992;83.1867269260,1.0000000000
123,4,488.8820754035 106.5979675408;97.3732289488 276.6651238660;337.0558979747 457.9130114736;260.4700334382 466.3787670883,129.9841011254;22.0578603656;242.5800747021;281.8258313921,1.0000000000
124,3,423.2585208328 297.7443491508;132.2063338800 447.9210634781;181.7634337198 428.7005084503,151.7127929216;332.3040852845;331.7351385087,1.0000000000
125,2,302.7391799714 177.9894910170;422.0634258656 324.4627043394,41.3571732877;235.5095939478,1.0000000000
126,2,444.5039331830 11.9193335181;314.7327364081 495.5973118643,112.9690872013;284.5953631945,1.0000000000
127,2,358.2003442161 291.5117847101;0.9629218119 347.9781538455,171.8000541014;346.7302485889,1.0000000000
128,2,11.6513090915 446.9364462842;78.3135191673 70.2915150510,278.1022712241;107.6498875609,1.0000000000
129,2,244.3135672830 25.8126823854;307.6960198925 117.2443295023,54.3469613725;239.2281944744,1.0000000000
130,2,432.1855690072 451.2881831492;193.3939979760 351.5449995981,193.0351137434;26.2731370308,1.0000000000
131,2,448.4663979096 452.0488795511;417.5184081004 151.4758377625,258.5836214780;86.1036552507,1.0000000000
132,3,390.5524220639 455.4512465367;295.4650116960 448.9173652758;136.8116080070 5.2086070917,231.3758752838;267.5462413563;63.4170903167,1.0000000000
133,4,112.4743467944 77.7089560228;316.3102159162 446.8631057510;165.6303605159 213.1110307592;301.7842726710 12.4202249801,36.1214924810;255.3990182821;334.5316699143;110.0472481314,1.0000000000
134,2,167.9206797228 123.3734688148;74.8068626984 425.0306307538,107.2132890031;289.6849185099,1.0000000000
135,4,318.7056299351 292.5121094848;261.4589899144 329.1368626957;403.3358724006 267.4134978608;19.8798867620 174.7029508146,208.0899114792;258.7457393665;183.1844170162;19.4251329191,1.0000000000
136,2,80.1778459047 36.2310052122;481.1591388357 15.0404255123,354.2406107504;177.1088149854,1.0000000000
137,2,236.1755144922 136.6134096893;159.0608850195 138.0250260261,178.5652625738;352.4736086246,1.0000000000
138,2,79.0896074877 10.9293002611;130.1751769410 178.6049934382,77.1982112756;249.2752660595,1.0000000000
139,2,7.8641006004 386.6161479069;173.3583083069 464.8033419895,22.4248693346;204.6019610578,1.0000000000
140,3,57.5993741670 276.6503005548;291.9249481897 417.4310552777;248.0068469229 361.4060738594,27.8805176615;217.4656306526;183.3477789153,1.0000000000
141,2,241.9639429258 417.4140929688;132.3490169881 449.3518789414,168.8647182757;340.2628106099,1.0000000000
142,2,272.6544959049 41.8003084620;22.9482686498 397.7812257081,125.1142992678;300.7046169581,1.0000000000
143,3,237.7877313456 334.4533612519;270.2028455637 153.3403377673;387.4837120280 378.6255811041,329.4541252847;78.2835397448;224.0335558416,1.0000000000
144,2,472.1851228777 249.8790865976;272.4244027919 456.9987447567,134.6442189408;311.0833370901,1.0000000000
145,2,296.1766124307 295.7901105876;409.0977623499 404.4172189743,40.6105197333;231.6781842436,1.0000000000
146,3,129.2877431048 228.2570849182;127.8427181973 298.5929869204;191.0462781816 87.3542033548,317.2917602271;290.1877141424;102.1662726270,1.0000000000
147,3,32.2197094972 19.2159048384;375.8659446478 106.6462529830;464.3008851060 188.6100499573,28.1048179905;181.6045234340;197.3468144923,1.0000000000
148,2,53.5828014549 310.9137976353;119.3306167744 256.6179641677,326.9583715953;135.4559031776,1.0000000000
149,2,395.8977403388 267.1461067002;18.1371574232 336.3287079416,170.1327404114;352.2150479371,1.0000000000
150,2,83.6431697540 282.9155731668;333.2411520284 77.3656102853,319.9210159308;137.6966847772,1.0000000000
151,4,131.2816575956 437.0039162616;240.2608194634 56.9221959641;153.8798651349 165.4673314203;225.6482892378 368.0404021558,293.0002892910;102.1817659100;72.6529131486;246.7892820554,1.0000000000
152,2,379.7887032822 76.5656844532;414.2750975375 469.4132051136,92.4790223733;260.1598205800,1.0000000000
153,3,432.9145044944 128.0404031606;196.3766239308 257.7393352357;67.2044819413 307.4851585226,153.4670654573;314.0014873088;334.8854550435,1.0000000000
154,2,494.0033356654 264.4688755876;195.5259083643 363.9416940348,160.9451602518;344.0365252311,1.0000000000
155,2,182.6498044303 405.8763821599;483.6284677036 12.9368168859,303.0634751694;131.0698225080,1.0000000000
156,2,31.0695153293 45.8164857910;73.8424064996 369.5986073572,80.4108850027;264.2041002768,1.0000000000
157,2,264.0711055824 478.6287893570;28.3981690471 289.8793313546,209.3249772541;38.6632073640,1.0000000000
158,2,26.8490112808 341.4683337864;52.7241715189 484.7914117379,79.2476414565;253.0414605178,1.0000000000
159,2,485.5177523502 171.0737984164;412.6973880030 417.4908147752,113.6484723308;284.1470441876,1.0000000000
160,2,254.5374588527 289.9340492973;273.3796681786 18.9509530565,272.4084871622;95.6978880996,1.0000000000
161,2,315.0485810009 305.8686545875;451.2028903414 96.3532788955,293.4504001569;126.5247604556,1.0000000000
162,2,172.9913296936 481.0390991755;361.9132338070 435.2536703800,345.9613215129;158.2961064922,1.0000000000
163,2,386.8780346145 127.6996530361;164.6965308119 65.9919459370,193.7928635142;23.8173207593,1.0000000000
164,2,30.7971668918 326.9470986756;482.4045974080 296.5485895996,356.6325498290;173.8136294303,1.0000000000
165,2,281.8405322538 220.7901097729;215.9495249787 162.7933764963,221.2536611769;37.9737715553,1.0000000000
166,3,130.9516915580 129.2102903610;297.5423532733 343.3004815874;345.6347629378 440.3628583519,59.1273961009;219.9257776474;231.2506634714,1.0000000000
167,2,18.1847438438 30.4243735291;305.9024174967 10.6982644161,5.8893416889;167.6088583709,1.0000000000
168,3,270.5548759987 239.1916678650;393.1137253368 282.5905084400;13.1833655963 218.3129247035,177.8930202449;186.9472993591;14.3151185124,1.0000000000
169,3,82.9607373414 403.3682880588;477.9521865815 213.0086730055;290.7721893766 245.2684279730,325.7569684166;164.9647183721;103.7305643312,1.0000000000
170,3,235.0290838192 31.1810727267;411.2904451021 491.9619874584;358.2892090142 309.4101104488,68.7157926563;250.1898466820;227.2281820964,1.0000000000
171,4,132.0970094435 455.5311258690;414.9814189787 122.8736962569;20.6824406832 61.5660075707;287.1519405997 244.2869952054,286.2029579876;156.5880245059;39.4763312828;199.6402124363,1.0000000000
172,3,55.1597575479 149.8874543842;153.2660474067 298.1785803127;372.5656545827 107.6361780613,13.3383662473;294.9616407432;153.6418075101,1.0000000000
173,2,326.8366313200 471.0499621127;413.3924936221 4.1330935379,276.2057601249;110.1425068565,1.0000000000
174,2,408.3152578131 479.4804783767;19.8375513476 192.3485066449,213.7527261469;37.8172874601,1.0000000000
175,2,465.4096722083 319.3229180687;405.8583301443 63.8085090669,261.9113832460;73.3387143275,1.0000000000
176,3,481.8773172661 271.6549671278;69.9276484722 372.1792660862;430.7612881754 219.4293842086,181.5406819418;338.3127923717;149.9934289512,1.0000000000
177,2,221.9956454877 120.5019890189;343.5722700796 304.2761136703,62.1477033932;234.1067794955,1.0000000000
178,2,90.0992384436 365.3611844996;120.6817073388 347.6355101470,339.5628090920;149.2858790797,1.0000000000
179,3,151.8130137309 431.1558292308;258.5617049856 105.7221061516;415.0497087578 397.7156294651,308.7478808745;92.1766826050;209.4761481022,1.0000000000
180,2,351.0620076140 395.4582676382;371.7836775078 21.8290882783,281.7648174034;86.3903285164,1.0000000000
181,2,33.8659302433 470.4816019105;277.5379837602 445.8845465652,344.5225831481;178.7175593282,1.0000000000
182,2,392.0947812118 363.2447159794;195.2966535050 276.3895708746,197.5373348296;26.9898417383,1.0000000000
183,2,432.7607566189 310.6025771749;291.6512656380 41.4850243416,248.7328452020;54.3073213627,1.0000000000
184,3,111.0394640426 342.2950749066;443.2104271974 428.2393025199;27.9019445393 5.2568602732,308.4004271068;212.0537762492;58.0853409694,1.0000000000
185,2,444.2794018704 487.4885009844;233.2172595240 76.8952019115,238.9618444590;65.4128244483,1.0000000000
186,2,473.6643649415 299.6416212009;278.3384225727 338.8043254590,164.0731183236;356.3070021089,1.0000000000
187,3,277.5723721827 287.7431860768;186.4102421347 331.1372786133;274.7024583245 154.1962845978,223.9857725218;318.3795977565;97.0132004798,1.0000000000
188,3,160.7352769961 365.7716802622;215.2655248568 338.9065406840;118.3294314863 489.1234201854,87.7392936331;136.6528824124;292.6537769110,1.0000000000
189,2,77.0911979782 191.5708850167;328.6923122146 297.4371388776,22.5759799844;206.6824251945,1.0000000000
190,3,58.7386196900 100.6446504762;298.5146869267 260.3919647749;31.8120716616 368.4635223827,53.6113493816;190.5766525289;310.2241915667,1.0000000000
191,2,344.7825737782 327.2081718098;300.2440606103 288.9006383594,214.4731286794;48.0008764004,1.0000000000
192,3,17.5038692746 310.9289028365;51.9826482160 341.3193160790;308.3047187030 370.6737395175,19.4225511859;358.8715444489;187.4962597457,1.0000000000
193,2,141.2204232022 456.5170595218;194.6263253792 146.2942724775,271.2351731805;100.0376780615,1.0000000000
194,3,89.8767030750 355.6273901206;53.0518150326 98.9854073021;83.0603037298 199.0185984890,259.5675914111;83.4914430724;106.5712379600,1.0000000000
195,2,287.0370525738 285.8288224199;49.0478568531 322.1960481065,166.3714414525;355.0645034660,1.0000000000
196,2,140.3435923346 384.6865820428;499.2830081522 447.8798373266,5.8762347092;197.6114461605,1.0000000000
197,3,180.5797162191 414.3667004607;181.6405623854 64.4670783578;120.4269033619 427.6146636550,259.1797302435;93.1933179504;293.4111667116,1.0000000000
198,2,492.4149766000 78.7651686339;262.5982850037 416.1886118380,124.7008040363;303.5735807659,1.0000000000
199,2,112.8148912156 468.4152062393;121.0781680152 97.9270026872,275.3057035554;84.2076341943,1.0000000000
200,2,358.2713107686 384.1104301596;380.6956296830 225.0368691567,280.7231308897;88.9461724951,1.0000000000
