case_id,nverts,D,R,dmax,cover,dmax_minus_R,dmax_worst,cover_worst,cx,cy
29,3,1.5327203404,0.7663601702,0.7663601702,1,0.0000000000,0.7663601702,1,158.7232320075,296.5414751870
30,4,3.2601134514,1.6300567257,1.6300567257,1,0.0000000000,1.6300567257,1,264.3262948465,141.1083176945
31,4,29.5593424775,14.7796712388,14.7796712388,1,0.0000000000,14.7796712388,1,329.7128708330,305.9145090620
32,4,91.2788590852,45.6394295426,45.6394295426,1,0.0000000000,45.6394295426,1,350.6521711380,125.9801409510
33,4,49.1926341203,24.5963170602,24.5963170602,1,0.0000000000,24.5963170602,1,365.3686411605,181.8093349465
34,4,65.8492155396,32.9246077698,32.9246077698,1,0.0000000000,32.9246077698,1,165.9428661605,275.0670517275
35,3,1.1835545585,0.5917772793,0.5917772793,1,0.0000000000,0.5917772793,1,270.6381625815,142.3358030420
36,3,52.5509195375,26.2754597688,26.2754597688,1,0.0000000000,26.2754597688,1,290.6019303045,28.0428145290
37,4,84.9020956223,42.4510478111,42.4510478111,1,0.0000000000,42.4510478111,1,164.6779009045,225.6841673280
38,4,43.6899028358,21.8449514179,21.8449514179,1,0.0000000000,21.8449514179,1,270.3080016925,224.8414589980
39,3,21.8671317249,10.9335658624,10.9335658624,1,0.0000000000,10.9335658624,1,419.9294838350,400.6578847880
40,3,98.8530232544,49.4265116272,49.4265116272,1,0.0000000000,49.4265116272,1,185.6022791230,122.5753995260
41,4,37.0343454917,18.5171727459,18.5171727459,1,0.0000000000,18.5171727459,1,215.2944487360,269.2108021290
42,5,7.1457084507,3.5728542254,3.5728542254,1,0.0000000000,3.5728542254,1,248.8309203230,355.3140432870
43,4,12.2680979991,6.1340489996,6.1340489996,1,0.0000000000,6.1340489996,1,288.9980582575,301.0745348170
44,3,5.1431145428,2.5715572714,2.6790233772,0,0.1074661058,2.6790233772,0,117.3711154335,296.7868870470
45,4,208.7149714792,104.3574857396,104.3574857396,1,0.0000000000,104.3574857396,1,75.6699627505,172.0372974355
46,4,28.2804393560,14.1402196780,14.1402196780,1,0.0000000000,14.1402196780,1,123.4164603645,368.0768959130
47,3,130.9471475963,65.4735737982,65.4735737982,1,0.0000000000,65.4735737982,1,334.2465567810,438.8591850520
48,3,4.8404432170,2.4202216085,2.6945711169,0,0.2743495085,2.6945711169,0,203.3362019860,271.7785941675
49,4,15.0098927154,7.5049463577,7.5049463577,1,0.0000000000,7.5049463577,1,350.5491712725,310.3662263415
50,4,10.8428698386,5.4214349193,5.4214349193,1,0.0000000000,5.4214349193,1,373.8336011740,263.8430397755
51,4,3.1263188326,1.5631594163,1.5631594163,1,0.0000000000,1.5631594163,1,233.3746110045,262.9015557040
52,4,47.2942802187,23.6471401093,23.6471401093,1,0.0000000000,23.6471401093,1,78.2239242615,251.8662000095
53,4,34.7289371463,17.3644685732,17.3644685732,1,0.0000000000,17.3644685732,1,328.7292942425,204.5472593045
54,3,59.0358082529,29.5179041264,29.5179041264,1,0.0000000000,29.5179041264,1,462.9267546245,23.4861999900
55,3,33.6526351406,16.8263175703,16.8263175703,1,0.0000000000,16.8263175703,1,269.0331260205,387.8764737700
56,4,49.3617111463,24.6808555732,24.6808555732,1,0.0000000000,24.6808555732,1,221.3841277870,148.6226545600
57,4,57.3023707897,28.6511853949,28.6511853949,1,0.0000000000,28.6511853949,1,384.2454513030,49.0226442425
58,4,1.9647023398,0.9823511699,0.9823511699,1,0.0000000000,0.9823511699,1,219.0698915735,404.1367774600
59,4,103.5371269927,51.7685634963,51.7685634963,1,0.0000000000,51.7685634963,1,428.2291000875,44.8513516250
60,4,51.1372251401,25.5686125701,25.5686125701,1,0.0000000000,25.5686125701,1,99.1576323695,241.1604208520
61,4,51.6964753206,25.8482376603,25.8482376603,1,0.0000000000,25.8482376603,1,145.9828087445,159.4626830500
62,4,65.3769524461,32.6884762230,32.6884762230,1,0.0000000000,32.6884762230,1,172.9271615555,283.0283231760
63,4,7.1839101445,3.5919550723,3.5919550723,1,0.0000000000,3.5919550723,1,421.3516902480,55.7322725020
64,4,65.9410419692,32.9705209846,32.9705209846,1,0.0000000000,32.9705209846,1,196.2865862125,313.2107405725
65,4,70.2401763802,35.1200881901,35.1200881901,1,0.0000000000,35.1200881901,1,117.0609231700,384.0454669410
66,4,49.0731265105,24.5365632553,24.5365632553,1,0.0000000000,24.5365632553,1,285.4690201585,313.2114381600
67,6,7.9546933264,3.9773466632,4.4167073558,0,0.4393606926,4.4167073558,0,250.2188683945,140.9706116315
68,4,23.3582112598,11.6791056299,11.6791056299,1,0.0000000000,11.6791056299,1,296.3196790105,266.4531484980
69,3,4.4965170844,2.2482585422,2.5285491410,0,0.2802905988,2.5285491410,0,241.5857299620,239.0609442745
70,4,55.4269611407,27.7134805704,27.7134805704,1,0.0000000000,27.7134805704,1,406.8950372010,280.7583468835
71,3,30.3793286883,15.1896643442,15.1896643442,1,0.0000000000,15.1896643442,1,303.6591183745,309.2907196475
72,3,45.7389219006,22.8694609503,22.8694609503,1,0.0000000000,22.8694609503,1,165.6391959450,307.9457637870
73,4,82.1731608322,41.0865804161,41.0865804161,1,0.0000000000,41.0865804161,1,392.9162582400,333.9844745910
74,4,37.0658676277,18.5329338139,18.5329338139,1,0.0000000000,18.5329338139,1,262.5615113820,135.1695401915
75,3,75.6969222152,37.8484611076,37.8484611076,1,0.0000000000,37.8484611076,1,412.8812992900,69.2967854895
76,4,16.2984671854,8.1492335927,8.1492335927,1,0.0000000000,8.1492335927,1,271.3398511900,255.2691207990
77,4,37.5403992301,18.7701996151,18.7701996151,1,0.0000000000,18.7701996151,1,250.0488634700,289.5958918835
78,4,16.1833534318,8.0916767159,8.0916767159,1,0.0000000000,8.0916767159,1,309.1190471080,305.2147167490
79,3,269.0304406467,134.5152203233,134.5152203233,1,0.0000000000,134.5152203233,1,132.5286205105,238.4920952705
80,4,1.6907207074,0.8453603537,0.9823271779,0,0.1369668242,0.9823271779,0,249.0419668205,206.3305462455
81,4,50.1763504798,25.0881752399,25.0881752399,1,0.0000000000,25.0881752399,1,372.8762180625,221.2118337565
82,4,50.9288950465,25.4644475232,25.4644475232,1,0.0000000000,25.4644475232,1,228.8413980375,450.7771473140
83,4,51.3431943571,25.6715971785,25.6715971785,1,0.0000000000,25.6715971785,1,99.5520667295,206.3843460150
84,4,65.5535211639,32.7767605820,32.7767605820,1,0.0000000000,32.7767605820,1,156.8055295080,321.5859652345
85,3,1.2578682525,0.6289341263,0.6289341263,1,0.0000000000,0.6289341263,1,191.2676717195,199.6836125170
86,4,60.5019394246,30.2509697123,30.2509697123,1,0.0000000000,30.2509697123,1,189.0110191665,266.7004693805
87,4,212.2585860547,106.1292930273,106.1292930273,1,0.0000000000,106.1292930273,1,265.5664012265,169.0004700735
88,4,62.0491063053,31.0245531527,31.0245531527,1,0.0000000000,31.0245531527,1,244.3372510260,314.3769848730
89,4,50.9554791614,25.4777395807,25.4777395807,1,0.0000000000,25.4777395807,1,250.8073765905,180.1242269935
90,4,62.4794987081,31.2397493540,31.2397493540,1,0.0000000000,31.2397493540,1,154.9523377540,123.7615986310
91,3,4.8573579482,2.4286789741,2.4286789741,1,0.0000000000,2.4286789741,1,279.0463124225,242.4896869685
92,4,65.5311357970,32.7655678985,32.7655678985,1,0.0000000000,32.7655678985,1,116.3940477040,207.2587662320
93,4,28.5689574245,14.2844787122,14.2844787122,1,0.0000000000,14.2844787122,1,350.2599337955,237.2161458805
94,4,2.6218299700,1.3109149850,1.3109149850,1,0.0000000000,1.3109149850,1,242.7803367865,377.2225891050
95,5,11.9490858066,5.9745429033,5.9745429033,1,0.0000000000,5.9745429033,1,422.0854929110,238.2967896240
96,4,116.7886411084,58.3943205542,58.3943205542,1,0.0000000000,58.3943205542,1,182.6356183610,329.8326345320
97,4,6.1148653349,3.0574326674,3.0574326674,1,0.0000000000,3.0574326674,1,289.9789311995,313.5937667455
98,5,6.2829423041,3.1414711521,3.1636126937,0,0.0221415416,3.1636126937,0,311.8235578305,212.7787702110
99,4,25.9819447133,12.9909723566,12.9909723566,1,0.0000000000,12.9909723566,1,138.2169132700,286.6647897200
100,4,68.9383755363,34.4691877682,34.4691877682,1,0.0000000000,34.4691877682,1,215.6221618995,302.4851890695
101,3,139.7374035712,69.8687017856,69.8687017856,1,0.0000000000,69.8687017856,1,427.3938667465,407.1393707460
102,4,61.1020281960,30.5510140980,30.5510140980,1,0.0000000000,30.5510140980,1,122.2568033630,424.5728417805
103,4,18.4915464589,9.2457732295,9.2457732295,1,0.0000000000,9.2457732295,1,116.5371921475,390.9933106490
104,3,42.0225189417,21.0112594709,21.0112594709,1,0.0000000000,21.0112594709,1,85.7570959940,139.6661098470
105,4,54.9175843426,27.4587921713,27.4587921713,1,0.0000000000,27.4587921713,1,361.7975361355,294.2956792795
106,4,7.6765407017,3.8382703508,3.8382703508,1,0.0000000000,3.8382703508,1,183.4277998535,237.5458719425
107,4,95.8055006385,47.9027503193,47.9027503193,1,0.0000000000,47.9027503193,1,204.3326301700,246.9187149570
108,4,87.8376697083,43.9188348542,43.9188348542,1,0.0000000000,43.9188348542,1,177.7951808410,139.1882728905
109,4,27.4512236061,13.7256118031,13.7256118031,1,0.0000000000,13.7256118031,1,221.2082602005,143.4655386040
110,4,67.1881031105,33.5940515552,33.5940515552,1,0.0000000000,33.5940515552,1,468.3647247950,173.0046958040
111,3,58.1413928160,29.0706964080,29.0706964080,1,0.0000000000,29.0706964080,1,113.7056571625,158.6562489635
112,4,71.6801808397,35.8400904198,35.8400904198,1,0.0000000000,35.8400904198,1,352.2872854945,194.4873305610
113,4,20.0438251579,10.0219125789,10.0219125789,1,0.0000000000,10.0219125789,1,231.7601335595,253.4571590215
114,3,1.6718335256,0.8359167628,0.8359167628,1,0.0000000000,0.8359167628,1,252.2435554220,305.8623035365
115,3,15.6699883941,7.8349941971,7.8349941971,1,0.0000000000,7.8349941971,1,388.8183519395,75.2357373200
116,4,15.6460633058,7.8230316529,7.8230316529,1,0.0000000000,7.8230316529,1,112.9748575530,380.4946552330
117,4,4.8574080714,2.4287040357,2.4287040357,1,0.0000000000,2.4287040357,1,260.1401719390,232.3355823680
118,3,132.9561186924,66.4780593462,66.4780593462,1,0.0000000000,66.4780593462,1,186.7453592380,159.7485851325
119,4,16.5401242325,8.2700621162,8.2700621162,1,0.0000000000,8.2700621162,1,164.6553767130,277.5660530920
120,5,2.2503909737,1.1251954868,1.1251954868,1,0.0000000000,1.1251954868,1,350.7172574995,5.3060005780
121,4,3.8113420849,1.9056710425,1.9056710425,1,0.0000000000,1.9056710425,1,234.5207403430,392.7004803950
122,3,1.6350344553,0.8175172277,0.8175172277,1,0.0000000000,0.8175172277,1,292.4723861240,497.8916111240
123,4,8.1545140818,4.0772570409,4.0772570409,1,0.0000000000,4.0772570409,1,284.1801248910,352.8385945630
124,4,161.1277524975,80.5638762487,80.5638762487,1,0.0000000000,80.5638762487,1,352.0649657075,335.4539747765
125,4,26.9665790207,13.4832895104,13.4832895104,1,0.0000000000,13.4832895104,1,349.8664484795,219.7877077125
126,3,85.4223192130,42.7111596065,42.7111596065,1,0.0000000000,42.7111596065,1,428.5254194945,51.5290577690
127,3,127.2809121283,63.6404560641,63.6404560641,1,0.0000000000,63.6404560641,1,63.1496965325,334.4536317495
128,4,80.4801131102,40.2400565551,40.2400565551,1,0.0000000000,40.2400565551,1,55.3864461345,144.6643411320
129,3,43.8616345373,21.9308172687,21.9308172687,1,0.0000000000,21.9308172687,1,296.1486219525,98.5998035805
130,4,39.4393779588,19.7196889794,19.7196889794,1,0.0000000000,19.7196889794,1,363.0992513350,434.9411330400
131,4,80.5767214300,40.2883607150,40.2883607150,1,0.0000000000,40.2883607150,1,433.3520435860,373.6497772280
132,3,6.2336208217,3.1168104109,3.1168104109,1,0.0000000000,3.1168104109,1,291.1090691855,327.4989217715
133,4,5.4734039455,2.7367019728,3.2568045479,0,0.5201025751,3.2568045479,0,243.9257553015,174.1284074090
134,3,120.2033447999,60.1016724000,60.1016724000,1,0.0000000000,60.1016724000,1,94.0612540330,368.0966388020
135,3,1.1210615929,0.5605307965,0.5605307965,1,0.0000000000,0.5605307965,1,247.8212543395,256.2544899985
136,3,158.7988510926,79.3994255463,79.3994255463,1,0.0000000000,79.3994255463,1,159.3034958065,29.6431144335
137,3,7.7880927285,3.8940463642,3.8940463642,1,0.0000000000,3.8940463642,1,162.9296964335,137.5824253780
138,4,44.3797813266,22.1898906633,22.1898906633,1,0.0000000000,22.1898906633,1,98.0385612350,92.5771575660
139,3,26.3817841561,13.1908920781,13.1908920781,1,0.0000000000,13.1908920781,1,19.9678277980,391.8601370085
140,4,7.6571489934,3.8285744967,3.8285744967,1,0.0000000000,3.8285744967,1,216.2085284305,359.4797558685
141,4,26.6405259230,13.3202629615,13.3202629615,1,0.0000000000,13.3202629615,1,196.3899816865,426.6210230460
142,3,105.2323667887,52.6161833943,52.6161833943,1,0.0000000000,52.6161833943,1,50.6001886510,353.0170204170
143,4,3.4698627364,1.7349313682,2.2718716101,0,0.5369402419,2.2718716101,0,301.8243039830,296.6405132350
144,3,135.8588250987,67.9294125494,67.9294125494,1,0.0000000000,67.9294125494,1,317.9514292120,406.5835193310
145,4,28.4855706370,14.2427853185,14.2427853185,1,0.0000000000,14.2427853185,1,379.9618439070,367.9538889230
146,4,8.2153235813,4.1076617907,4.1076617907,1,0.0000000000,4.1076617907,1,167.9877619165,192.4403359180
147,4,27.7343793365,13.8671896682,13.8671896682,1,0.0000000000,13.8671896682,1,186.0333245915,101.0936218930
148,4,14.9232488428,7.4616244214,7.4616244214,1,0.0000000000,7.4616244214,1,84.7033810035,290.5169146340
149,3,90.2405697513,45.1202848756,45.1202848756,1,0.0000000000,45.1202848756,1,62.7281148930,329.4376543820
150,3,57.1856831699,28.5928415849,28.5928415849,1,0.0000000000,28.5928415849,1,311.7614676315,96.2381763015
151,4,9.4709818235,4.7354909118,4.7354909118,1,0.0000000000,4.7354909118,1,192.6502705025,290.8905658810
152,4,64.5062234189,32.2531117095,32.2531117095,1,0.0000000000,32.2531117095,1,373.6289965005,231.8112111910
153,4,18.7329752553,9.3664876277,9.3664876277,1,0.0000000000,9.3664876277,1,216.1561514165,237.4931218950
154,3,165.2644092665,82.6322046333,82.6322046333,1,0.0000000000,82.6322046333,1,274.5628638100,339.8327555155
155,4,124.0210883699,62.0105441849,62.0105441849,1,0.0000000000,62.0105441849,1,305.8923727515,218.5389962380
156,4,172.2904933203,86.1452466601,86.1452466601,1,0.0000000000,86.1452466601,1,54.4002436625,192.9381129405
157,3,31.5703448456,15.7851724228,15.7851724228,1,0.0000000000,15.7851724228,1,250.4457310535,470.6587932830
158,3,11.3196957790,5.6598478895,5.6598478895,1,0.0000000000,5.6598478895,1,51.1680433575,479.3496892820
159,4,54.3246160415,27.1623080208,27.1623080208,1,0.0000000000,27.1623080208,1,460.7245314755,228.8736379065
160,4,165.2163867153,82.6081933577,82.6081933577,1,0.0000000000,82.6081933577,1,261.9481721710,148.0404952190
161,4,38.5487152210,19.2743576105,19.2743576105,1,0.0000000000,19.2743576105,1,342.2353763610,244.0388189665
162,3,14.8634199293,7.4317099647,7.4317099647,1,0.0000000000,7.4317099647,1,354.9614636090,437.8810653090
163,4,46.2319562099,23.1159781049,23.1159781049,1,0.0000000000,23.1159781049,1,201.4139832400,81.7586817420
164,3,238.2602575173,119.1301287586,119.1301287586,1,0.0000000000,119.1301287586,1,363.7621957385,307.3174383845
165,3,24.0904429248,12.0452214624,12.0452214624,1,0.0000000000,12.0452214624,1,225.3138892685,170.3693940215
166,4,22.4605138250,11.2302569125,11.2302569125,1,0.0000000000,11.2302569125,1,217.9853304995,276.4673867580
167,4,32.0872412327,16.0436206163,16.0436206163,1,0.0000000000,16.0436206163,1,152.8648336910,44.0384278565
168,5,31.8757650157,15.9378825079,15.9378825079,1,0.0000000000,15.9378825079,1,117.1612260135,244.5606456170
169,4,8.3283320757,4.1641660378,4.1641660378,1,0.0000000000,4.1641660378,1,285.9696321430,264.6185766475
170,4,19.4927815487,9.7463907743,9.7463907743,1,0.0000000000,9.7463907743,1,335.9593131850,285.0221303760
171,6,9.0494628721,4.5247314360,4.8052674868,0,0.2805360508,4.8052674868,0,202.0893411320,214.5912164675
172,3,5.1377149407,2.5688574704,2.5688574704,1,0.0000000000,2.5688574704,1,205.7646179320,186.6900319300
173,4,68.8094249348,34.4047124674,34.4047124674,1,0.0000000000,34.4047124674,1,363.1064403725,142.9699866950
174,4,237.8512115769,118.9256057884,118.9256057884,1,0.0000000000,118.9256057884,1,276.1636921365,388.6745332730
175,4,61.4255103884,30.7127551942,30.7127551942,1,0.0000000000,30.7127551942,1,449.5852991865,211.7792837390
176,4,13.2277861229,6.6138930614,6.6138930614,1,0.0000000000,6.6138930614,1,345.2315384910,268.0873909685
177,4,54.9761118046,27.4880559023,27.4880559023,1,0.0000000000,27.4880559023,1,253.3109534770,178.7394872375
178,3,5.5924568322,2.7962284161,2.7962284161,1,0.0000000000,2.7962284161,1,92.7020203580,364.3392159755
179,5,7.9946268506,3.9973134253,4.6903092962,0,0.6929958709,4.6903092962,0,252.4012590135,305.7365900075
180,4,49.2575912564,24.6287956282,24.6287956282,1,0.0000000000,24.6287956282,1,384.6285820280,232.1961412020
181,4,34.8550905629,17.4275452815,17.4275452815,1,0.0000000000,17.4275452815,1,109.1343941135,449.9544352250
182,4,45.7121850120,22.8560925060,22.8560925060,1,0.0000000000,22.8560925060,1,323.0404616100,341.0047333915
183,4,42.5690639002,21.2845319501,21.2845319501,1,0.0000000000,21.2845319501,1,370.6883242850,152.1392054905
184,3,3.7633069470,1.8816534735,2.0483031799,0,0.1666497064,2.0483031799,0,178.7200893340,257.1093659215
185,4,143.4037519557,71.7018759778,71.7018759778,1,0.0000000000,71.7018759778,1,348.6106146055,326.0839970095
186,4,32.8095925340,16.4047962670,16.4047962670,1,0.0000000000,16.4047962670,1,353.3647094330,333.6757777705
187,3,0.5561563386,0.2780781693,0.2998547514,0,0.0217765821,0.2998547514,0,258.5365253695,269.0308989450
188,4,3.6230367187,1.8115183594,1.8115183594,1,0.0000000000,1.8115183594,1,161.6316818415,389.2593136175
189,3,82.7516274618,41.3758137309,41.3758137309,1,0.0000000000,41.3758137309,1,291.4040151745,279.5055782735
190,3,2.0086135097,1.0043067549,1.2625511336,0,0.2582443787,1.2625511336,0,151.6934779605,230.3162427405
191,4,8.7647687965,4.3823843983,4.3823843983,1,0.0000000000,4.3823843983,1,318.5185729745,309.0835173990
192,5,13.5961560699,6.7980780349,6.7980780349,1,0.0000000000,6.7980780349,1,101.6030243795,340.4596196500
193,3,45.5833027106,22.7916513553,22.7916513553,1,0.0000000000,22.7916513553,1,142.1093258015,433.7427489150
194,4,12.0488410470,6.0244205235,6.0244205235,1,0.0000000000,6.0244205235,1,69.5622459530,244.7452609420
195,4,55.5912036737,27.7956018369,27.7956018369,1,0.0000000000,27.7956018369,1,185.6345247400,309.9160233865
196,4,62.5375917326,31.2687958663,31.2687958663,1,0.0000000000,31.2687958663,1,376.7837300395,409.5650075570
197,5,11.8005024065,5.9002512032,5.9002512032,1,0.0000000000,5.9002512032,1,163.9524674365,326.8416208915
198,4,408.2527302539,204.1263651270,204.1263651270,1,0.0000000000,204.1263651270,1,377.5066308020,247.4768902360
199,4,67.1886400267,33.5943200134,33.5943200134,1,0.0000000000,33.5943200134,1,134.1403854985,232.4886724450
200,4,27.4689423230,13.7344711615,13.7344711615,1,0.0000000000,13.7344711615,1,381.1376776150,262.0884981365
