序号,指令,位置参数,频道参数,移动距离(米),移动耗时(秒),切换频道耗时(秒),检测/清除耗时(秒),指令总耗时(秒),虚拟世界时刻(秒)
101,POST /measure,"(-848.528, 848.528)",20,0.0,0.0,1.0,5.0,6.0,1390.064
102,POST /measure,"(-1200.000, 0.000)",1,918.44,183.688,1.0,5.0,189.688,1579.752
103,POST /measure,"(-1200.000, 0.000)",2,0.0,0.0,1.0,5.0,6.0,1585.752
104,POST /measure,"(-1200.000, 0.000)",3,0.0,0.0,1.0,5.0,6.0,1591.752
105,POST /measure,"(-1200.000, 0.000)",4,0.0,0.0,1.0,5.0,6.0,1597.752
106,POST /measure,"(-1200.000, 0.000)",5,0.0,0.0,1.0,5.0,6.0,1603.752
107,POST /measure,"(-1200.000, 0.000)",6,0.0,0.0,1.0,5.0,6.0,1609.752
108,POST /measure,"(-1200.000, 0.000)",7,0.0,0.0,1.0,5.0,6.0,1615.752
109,POST /measure,"(-1200.000, 0.000)",8,0.0,0.0,1.0,5.0,6.0,1621.752
110,POST /measure,"(-1200.000, 0.000)",9,0.0,0.0,1.0,5.0,6.0,1627.752
111,POST /measure,"(-1200.000, 0.000)",10,0.0,0.0,1.0,5.0,6.0,1633.752
112,POST /measure,"(-1200.000, 0.000)",11,0.0,0.0,1.0,5.0,6.0,1639.752
113,POST /measure,"(-1200.000, 0.000)",12,0.0,0.0,1.0,5.0,6.0,1645.752
114,POST /measure,"(-1200.000, 0.000)",13,0.0,0.0,1.0,5.0,6.0,1651.752
115,POST /measure,"(-1200.000, 0.000)",14,0.0,0.0,1.0,5.0,6.0,1657.752
116,POST /measure,"(-1200.000, 0.000)",15,0.0,0.0,1.0,5.0,6.0,1663.752
117,POST /measure,"(-1200.000, 0.000)",16,0.0,0.0,1.0,5.0,6.0,1669.752
118,POST /measure,"(-1200.000, 0.000)",17,0.0,0.0,1.0,5.0,6.0,1675.752
119,POST /measure,"(-1200.000, 0.000)",18,0.0,0.0,1.0,5.0,6.0,1681.752
120,POST /measure,"(-1200.000, 0.000)",19,0.0,0.0,1.0,5.0,6.0,1687.752
121,POST /measure,"(-1200.000, 0.000)",20,0.0,0.0,1.0,5.0,6.0,1693.752
122,POST /measure,"(-848.528, -848.528)",1,918.44,183.688,1.0,5.0,189.688,1883.44
123,POST /measure,"(-848.528, -848.528)",2,0.0,0.0,1.0,5.0,6.0,1889.44
124,POST /measure,"(-848.528, -848.528)",3,0.0,0.0,1.0,5.0,6.0,1895.44
125,POST /measure,"(-848.528, -848.528)",4,0.0,0.0,1.0,5.0,6.0,1901.44
126,POST /measure,"(-848.528, -848.528)",5,0.0,0.0,1.0,5.0,6.0,1907.44
127,POST /measure,"(-848.528, -848.528)",6,0.0,0.0,1.0,5.0,6.0,1913.44
128,POST /measure,"(-848.528, -848.528)",7,0.0,0.0,1.0,5.0,6.0,1919.44
129,POST /measure,"(-848.528, -848.528)",8,0.0,0.0,1.0,5.0,6.0,1925.44
130,POST /measure,"(-848.528, -848.528)",9,0.0,0.0,1.0,5.0,6.0,1931.44
131,POST /measure,"(-848.528, -848.528)",10,0.0,0.0,1.0,5.0,6.0,1937.44
132,POST /measure,"(-848.528, -848.528)",11,0.0,0.0,1.0,5.0,6.0,1943.44
133,POST /measure,"(-848.528, -848.528)",12,0.0,0.0,1.0,5.0,6.0,1949.44
134,POST /measure,"(-848.528, -848.528)",13,0.0,0.0,1.0,5.0,6.0,1955.44
135,POST /measure,"(-848.528, -848.528)",14,0.0,0.0,1.0,5.0,6.0,1961.44
136,POST /measure,"(-848.528, -848.528)",15,0.0,0.0,1.0,5.0,6.0,1967.44
137,POST /measure,"(-848.528, -848.528)",16,0.0,0.0,1.0,5.0,6.0,1973.44
138,POST /measure,"(-848.528, -848.528)",17,0.0,0.0,1.0,5.0,6.0,1979.44
139,POST /measure,"(-848.528, -848.528)",18,0.0,0.0,1.0,5.0,6.0,1985.44
140,POST /measure,"(-848.528, -848.528)",19,0.0,0.0,1.0,5.0,6.0,1991.44
141,POST /measure,"(-848.528, -848.528)",20,0.0,0.0,1.0,5.0,6.0,1997.44
142,POST /measure,"(-0.000, -1200.000)",1,918.44,183.688,1.0,5.0,189.688,2187.128
143,POST /measure,"(-0.000, -1200.000)",2,0.0,0.0,1.0,5.0,6.0,2193.128
144,POST /measure,"(-0.000, -1200.000)",3,0.0,0.0,1.0,5.0,6.0,2199.128
145,POST /measure,"(-0.000, -1200.000)",4,0.0,0.0,1.0,5.0,6.0,2205.128
146,POST /measure,"(-0.000, -1200.000)",5,0.0,0.0,1.0,5.0,6.0,2211.128
147,POST /measure,"(-0.000, -1200.000)",6,0.0,0.0,1.0,5.0,6.0,2217.128
148,POST /measure,"(-0.000, -1200.000)",7,0.0,0.0,1.0,5.0,6.0,2223.128
149,POST /measure,"(-0.000, -1200.000)",8,0.0,0.0,1.0,5.0,6.0,2229.128
150,POST /measure,"(-0.000, -1200.000)",9,0.0,0.0,1.0,5.0,6.0,2235.128
151,POST /measure,"(-0.000, -1200.000)",10,0.0,0.0,1.0,5.0,6.0,2241.128
152,POST /measure,"(-0.000, -1200.000)",11,0.0,0.0,1.0,5.0,6.0,2247.128
153,POST /measure,"(-0.000, -1200.000)",12,0.0,0.0,1.0,5.0,6.0,2253.128
154,POST /measure,"(-0.000, -1200.000)",13,0.0,0.0,1.0,5.0,6.0,2259.128
155,POST /measure,"(-0.000, -1200.000)",14,0.0,0.0,1.0,5.0,6.0,2265.128
156,POST /measure,"(-0.000, -1200.000)",15,0.0,0.0,1.0,5.0,6.0,2271.128
157,POST /measure,"(-0.000, -1200.000)",16,0.0,0.0,1.0,5.0,6.0,2277.128
158,POST /measure,"(-0.000, -1200.000)",17,0.0,0.0,1.0,5.0,6.0,2283.128
159,POST /measure,"(-0.000, -1200.000)",18,0.0,0.0,1.0,5.0,6.0,2289.128
160,POST /measure,"(-0.000, -1200.000)",19,0.0,0.0,1.0,5.0,6.0,2295.128
161,POST /measure,"(-0.000, -1200.000)",20,0.0,0.0,1.0,5.0,6.0,2301.128
162,POST /measure,"(848.528, -848.528)",1,918.44,183.688,1.0,5.0,189.688,2490.816
163,POST /measure,"(848.528, -848.528)",2,0.0,0.0,1.0,5.0,6.0,2496.816
164,POST /measure,"(848.528, -848.528)",3,0.0,0.0,1.0,5.0,6.0,2502.816
165,POST /measure,"(848.528, -848.528)",4,0.0,0.0,1.0,5.0,6.0,2508.816
166,POST /measure,"(848.528, -848.528)",5,0.0,0.0,1.0,5.0,6.0,2514.816
167,POST /measure,"(848.528, -848.528)",6,0.0,0.0,1.0,5.0,6.0,2520.816
168,POST /measure,"(848.528, -848.528)",7,0.0,0.0,1.0,5.0,6.0,2526.816
169,POST /measure,"(848.528, -848.528)",8,0.0,0.0,1.0,5.0,6.0,2532.816
170,POST /measure,"(848.528, -848.528)",9,0.0,0.0,1.0,5.0,6.0,2538.816
171,POST /measure,"(848.528, -848.528)",10,0.0,0.0,1.0,5.0,6.0,2544.816
172,POST /measure,"(848.528, -848.528)",11,0.0,0.0,1.0,5.0,6.0,2550.816
173,POST /measure,"(848.528, -848.528)",12,0.0,0.0,1.0,5.0,6.0,2556.816
174,POST /measure,"(848.528, -848.528)",13,0.0,0.0,1.0,5.0,6.0,2562.816
175,POST /measure,"(848.528, -848.528)",14,0.0,0.0,1.0,5.0,6.0,2568.816
176,POST /measure,"(848.528, -848.528)",15,0.0,0.0,1.0,5.0,6.0,2574.816
177,POST /measure,"(848.528, -848.528)",16,0.0,0.0,1.0,5.0,6.0,2580.816
178,POST /measure,"(848.528, -848.528)",17,0.0,0.0,1.0,5.0,6.0,2586.816
179,POST /measure,"(848.528, -848.528)",18,0.0,0.0,1.0,5.0,6.0,2592.816
180,POST /measure,"(848.528, -848.528)",19,0.0,0.0,1.0,5.0,6.0,2598.816
181,POST /measure,"(848.528, -848.528)",20,0.0,0.0,1.0,5.0,6.0,2604.816
182,POST /clear,"(1012.577, 831.022)",15,1687.543,337.509,0.0,5.0,342.509,2947.325
183,POST /clear,"(832.448, 1251.773)",1,457.687,91.537,0.0,5.0,96.537,3043.862
184,POST /clear,"(428.587, 1393.511)",11,428.012,85.602,0.0,5.0,90.602,3134.465
185,POST /clear,"(155.451, 466.348)",19,966.558,193.312,0.0,5.0,198.312,3332.776
186,POST /clear,"(432.949, 31.988)",18,515.436,103.087,0.0,5.0,108.087,3440.863
187,POST /clear,"(297.410, -439.232)",17,490.325,98.065,0.0,5.0,103.065,3543.928
188,POST /clear,"(125.364, -1315.458)",7,892.957,178.591,0.0,5.0,183.591,3727.52
189,POST /clear,"(-234.014, -802.832)",6,626.05,125.21,0.0,5.0,130.21,3857.73
190,POST /clear,"(-661.134, -1140.471)",13,544.456,108.891,0.0,5.0,113.891,3971.621
191,POST /clear,"(-720.743, -1070.685)",10,91.778,18.356,0.0,5.0,23.356,3994.976
192,POST /clear,"(-1309.915, -868.564)",9,622.878,124.576,0.0,5.0,129.576,4124.552
193,POST /clear,"(-1351.239, -51.057)",3,818.551,163.71,0.0,5.0,168.71,4293.262
194,POST /clear,"(-355.298, 309.291)",4,1059.127,211.825,0.0,5.0,216.825,4510.088
195,POST /clear,"(-311.405, 380.493)",16,83.644,16.729,0.0,5.0,21.729,4531.816
196,POST /clear,"(-1096.107, 1131.734)",8,1086.334,217.267,0.0,5.0,222.267,4754.083
197,POST /exit,-,-,0.0,0.0,0.0,0.0,0.0,4754.083
